Index,Model,Network,ACC,Precision,Recall,F1,Specificity,AP,AUC,ACD990 N,ACD990 P
317,Morgan,"[512,256]",0.954425612,0.944105827,0.943989501,0.943838306,0.967979003,0.972656632,0.980699913,890,2
338,Pharm2D-Gobbi,"[256,64]",0.954425612,0.949416653,0.938954128,0.943369588,0.974782429,0.971183977,0.979661222,888,4
371,Pharm2D-Pmapper,"[256,64,32]",0.954425612,0.946663016,0.941702524,0.943602743,0.971087167,0.965989058,0.976276975,888,4
421,Pattern,"[256,128]",0.954425612,0.946323433,0.941323853,0.943687426,0.971619008,0.96870061,0.980914574,889,3
429,Pattern,"[512,256]",0.954425612,0.946947075,0.940907099,0.943633917,0.972145324,0.96781379,0.980783572,892,0
434,Pattern,"[512,128,64]",0.954425612,0.941289013,0.94852493,0.94457552,0.962153612,0.969540467,0.981228858,892,0
464,RDKit,"[128,32]",0.954425612,0.945736689,0.942372703,0.943607692,0.97007874,0.967674457,0.979030621,888,4
536,Torsion,"[256,16]",0.954425612,0.944311933,0.943989501,0.943747976,0.967979003,0.968661747,0.978586177,886,6
538,Torsion,"[256,128,32]",0.954425612,0.943369514,0.9447979,0.943802108,0.966929134,0.965170142,0.976780402,888,4
21,Avalon,"[64,32]",0.954048964,0.946855092,0.939685039,0.942908186,0.972703412,0.961307277,0.976447944,891,1
116,ErG,"[256,16]",0.954048964,0.951201665,0.935044616,0.942436695,0.978972234,0.965432499,0.97624457,888,4
117,ErG,"[256,128,64]",0.954048964,0.951760067,0.934190685,0.942204923,0.98001934,0.963374104,0.972333378,890,2
134,ErG,"[64,16]",0.954048964,0.945533948,0.941042344,0.943178852,0.971091311,0.963200992,0.975368565,889,3
367,Pharm2D-Pmapper,"[256,32]",0.954048964,0.947147505,0.941054208,0.943136647,0.971088548,0.968996453,0.978499582,885,7
427,Pattern,"[256,64,32]",0.954048964,0.945930943,0.941460209,0.943318594,0.970576046,0.969797521,0.981475138,890,2
430,Pattern,"[512,128]",0.954048964,0.943884386,0.943052439,0.943413237,0.968462495,0.970666773,0.981271231,892,0
431,Pattern,"[512,64]",0.954048964,0.948060162,0.938658684,0.942954416,0.97425335,0.968217399,0.980578949,888,4
448,Pattern,"[16,8]",0.954048964,0.946032175,0.940667398,0.943122521,0.971621771,0.968652439,0.981687683,888,4
543,Torsion,"[512,64]",0.954048964,0.944402049,0.942918635,0.943212767,0.968503937,0.967756742,0.978841645,887,5
1,Avalon,"[256,128]",0.953672316,0.941466505,0.945485564,0.943216418,0.964304462,0.968447324,0.978726159,891,1
10,Avalon,"[512,128]",0.953672316,0.943897442,0.942251969,0.942800875,0.968503937,0.967465039,0.97856168,886,6
14,Avalon,"[512,128,64]",0.953672316,0.942434303,0.943868766,0.942960947,0.966404199,0.96585254,0.978964129,891,1
24,Avalon,"[32,16]",0.953672316,0.948986544,0.936188976,0.941985715,0.976377953,0.964585878,0.97671741,892,0
139,ErG,"[32,4]",0.953672316,0.947799953,0.937539794,0.94228177,0.974761707,0.958461805,0.972045657,863,29
235,Layered,"[512,64]",0.953672316,0.94228911,0.943868766,0.94296395,0.966404199,0.967950017,0.981564304,891,1
248,Layered,"[32,16]",0.953672316,0.945345431,0.940230971,0.942562486,0.971128609,0.967724794,0.98008399,892,0
249,Layered,"[32,8]",0.953672316,0.946089106,0.939422572,0.942473917,0.972178478,0.969528572,0.980703412,891,1
331,Morgan,"[64,32,16]",0.953672316,0.948238689,0.936997375,0.94211368,0.975328084,0.971182186,0.980055993,889,3
449,RDKit,"[256,128]",0.953672316,0.942328346,0.943868766,0.942919441,0.966404199,0.96978303,0.980622922,882,10
548,Torsion,"[128,32]",0.953672316,0.945918545,0.939422572,0.942422652,0.972178478,0.969149022,0.979538058,887,5
15,Avalon,"[128,64]",0.953295669,0.944855402,0.939564304,0.942017511,0.971128609,0.96741706,0.977532808,890,2
118,ErG,"[256,128,32]",0.953295669,0.947506954,0.93691163,0.941904728,0.974776903,0.965042331,0.975102086,892,0
226,Layered,"[256,64]",0.953295669,0.945503876,0.938755906,0.941917017,0.972178478,0.966755993,0.980272966,892,0
239,Layered,"[128,64]",0.953295669,0.943877891,0.941181102,0.942259808,0.969028871,0.967275577,0.980262467,891,1
240,Layered,"[128,32]",0.953295669,0.941411009,0.944010499,0.94259193,0.965354331,0.966364877,0.981235346,892,0
377,Pharm2D-Pmapper,"[512,256,64]",0.953295669,0.944095855,0.942523781,0.942564146,0.967414007,0.969220401,0.979174086,887,5
463,RDKit,"[128,64]",0.953295669,0.943261094,0.941585302,0.942192076,0.968503937,0.969487101,0.979814523,890,2
558,Torsion,"[32,16,8]",0.953295669,0.946163192,0.938755906,0.941939784,0.972178478,0.964350547,0.976633421,887,5
